,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
P2yR8,0.0032492364118160873,100.0,0.11731267669058157,SGD,tanh,0.09569213444220226,89.0,107.0,0.7,0.15,200.0,33.0,0.6044829035218127,0.10309965136237179,0.7044657097288677,0.08102654162960002
ha46R,0.001663245335047054,30.0,0.0532064171283162,adam,tanh,0.04617918652586174,102.0,131.0,0.7,0.15,200.0,34.0,0.9403171871558094,0.030840349082940328,0.9387559808612439,0.009574692835600432
xXpVR,0.00045293372647060376,50.0,0.10330077803161936,adam,elu,0.07052268694913948,197.0,138.0,0.7,0.15,200.0,64.0,0.9153511167863883,0.04843425254256239,0.9395534290271131,0.010804171964555001
mqPHT,0.00030328661097383505,50.0,0.14595126584211365,SGD,tanh,0.012912625421747382,33.0,189.0,0.7,0.15,200.0,58.0,0.514130456956661,0.12334343021130524,0.5421052631578948,0.15099794204462913
INtZ5,0.0011033311627520303,50.0,0.10998617639328123,adam,relu,0.04518712455450086,43.0,164.0,0.7,0.15,200.0,38.0,0.9196389742184004,0.06313638313661517,0.9429027113237639,0.00992943056859548
GS2Uj,0.0004066423607003648,30.0,0.29218173229631794,adam,relu,0.039117516991407045,44.0,50.0,0.7,0.15,200.0,41.0,0.8889688300513013,0.06804474426574304,0.9342902711323763,0.012913736829344283
Qm1YA,7.401820240063329e-05,10.0,0.10130839903112375,adam,elu,0.020412304874786614,36.0,134.0,0.7,0.15,200.0,62.0,0.8896712109432432,0.046006069281320894,0.9443381180223286,0.009393655070256614
TNlmr,0.00012073974728117614,100.0,0.22399548591412466,SGD,elu,0.0787564845405838,61.0,29.0,0.7,0.15,200.0,35.0,0.4975492710408612,0.13025273849870983,0.4947368421052632,0.14197229291902688
T55HX,0.11733574454401995,100.0,0.23065431839898226,adam,relu,0.06863732870548304,120.0,126.0,0.7,0.15,200.0,69.0,0.8334176893599249,0.06860726022837614,0.8992025518341306,0.04355439665377552
hWRAX,5.345714064009941e-05,10.0,0.12653853656612066,adam,elu,0.013573109069100997,53.0,59.0,0.7,0.15,200.0,52.0,0.8437204983943494,0.09700111700164786,0.9373205741626794,0.011233551293741817
q3Kiq,7.120023376397649e-06,10.0,0.16834948404983835,adam,elu,0.04340678447789808,126.0,78.0,0.7,0.15,200.0,26.0,0.6983610736924126,0.08738760551367568,0.8054226475279107,0.07863663818578018
ODQDK,1.1561945423536567e-06,10.0,0.13230091756102277,adam,tanh,0.042631547661032956,143.0,71.0,0.7,0.15,200.0,25.0,0.6057626945874911,0.07381168369035698,0.688676236044657,0.09843960631659557
DeOyx,6.988413233399854e-06,5.0,0.2773132235276714,SGD,relu,0.053322078188037914,128.0,34.0,0.7,0.15,200.0,49.0,0.4257292265056547,0.12631470703019107,0.48309409888357263,0.12083052920674654
g3sAX,0.06597806993693649,100.0,0.034713271297294804,SGD,relu,0.0029374398225914034,24.0,79.0,0.7,0.15,200.0,49.0,0.8162279609069728,0.12184098128510597,0.9263157894736841,0.02621458476721451
vLJqh,7.415925342656392e-05,5.0,0.13731475003357216,SGD,tanh,0.08557048760122055,135.0,69.0,0.7,0.15,200.0,54.0,0.4203248043774687,0.13426833204870917,0.5229665071770335,0.07476798476574192
veYcU,2.9172727337233435e-05,100.0,0.2924247635032741,SGD,tanh,0.007908650262281337,144.0,73.0,0.7,0.15,200.0,64.0,0.46153140236486145,0.15238563043077696,0.55518341307815,0.1490531952935939
LkPxj,5.832094681693763e-05,5.0,0.3763340052345815,SGD,tanh,0.09459952246987263,77.0,16.0,0.7,0.15,200.0,63.0,0.4336543077415421,0.08384046731188115,0.5103668261562998,0.11591945288296075
lIJD1,1.8935901057626445e-05,70.0,0.12224449879370476,SGD,elu,0.057762522691613874,123.0,66.0,0.7,0.15,200.0,27.0,0.47409586262928577,0.13156595901827906,0.5492822966507176,0.10820922045245338
