learning_rate,trialJobId,layer_1,epochs,reward,activation,train_frac,dropout,preweight,intermediate,layer_2,batch_size,optimizer,test_frac,regularization
0.023010537335577,ZQjyk,34,200,0.609524535704397,tanh,0.7,0.057258887307411,3,"[0.5940476190476189,0.6095245357043975]",170,5,SGD,0.15,0.077674613312193
0.005811583347213,oslCv,144,200,0.60939285678964,elu,0.7,0.325854951082255,5,"[0.5898809523809524,0.60939285678964]",67,10,adam,0.15,0.001722365124723
0.074958525726939,zUVIT,89,200,0.609247118359794,tanh,0.7,0.002428925806019,3,"[0.5863095238095238,0.6092471183597944]",124,70,adam,0.15,0.001776512396162
0.035323968142445,FBaKL,61,200,0.609061865895665,elu,0.7,0.151581985276321,7,"[0.5684523809523809,0.6090618658956649]",141,5,adam,0.15,0.006711636248631
0.005575744536129,ThDvl,114,200,0.608981810278715,relu,0.7,0.338520963896925,5,"[0.5898809523809524,0.6089818102787146]",50,10,adam,0.15,0.003251816757597
0.054360176379805,YBG9X,85,200,0.608977873347548,tanh,0.7,0.296364550036062,4,"[0.5321428571428571,0.608977873347548]",129,70,adam,0.15,0.006598304952842
0.026414808542815,WRFG6,124,200,0.608948374605827,elu,0.7,0.398927442638301,4,"[0.5886904761904762,0.6089483746058266]",98,100,adam,0.15,0.002922629870003
0.011591777341573,HfoJh,89,200,0.608835418810053,elu,0.7,0.26390913056483,2,"[0.5005952380952381,0.6088354188100534]",157,70,adam,0.15,0.007239606245848
0.121623123014747,HK3QH,88,200,0.608752310728093,tanh,0.7,0.249712830192866,4,"[0.5193452380952381,0.6087523107280932]",152,70,adam,0.15,0.002345065957983
0.009844156683747,HxFnK,129,200,0.60866444133916,elu,0.7,0.349643083098196,5,"[0.5869047619047618,0.60866444133916]",72,10,adam,0.15,0.019526526417468
0.002198090903607,Cq6dB,98,200,0.608601838301767,elu,0.7,0.377154795595913,6,"[0.5922619047619047,0.6086018383017668]",77,10,adam,0.15,0.003294224263841
0.137199070164456,G62Q0,93,200,0.608225627204348,tanh,0.7,0.270723432011956,2,"[0.5047619047619047,0.6082256272043477]",164,70,adam,0.15,0.002268363276655
0.176971064285168,k5Eka,52,200,0.608171686772901,elu,0.7,0.300033951410924,6,"[0.5029761904761905,0.6081716867729015]",178,10,adam,0.15,0.056284390506995
0.005378574418622,jGIz6,158,200,0.607890533099718,elu,0.7,0.373740107115418,5,"[0.5898809523809524,0.6078905330997182]",142,10,adam,0.15,0.01280529631278
0.016160773056603,RlUbd,117,200,0.607861795116859,elu,0.7,0.39201396358967,6,"[0.5723214285714286,0.6078617951168586]",46,10,adam,0.15,0.00643698328222
0.033743794623107,oP10U,54,200,0.607786156567614,elu,0.7,0.244951214177609,3,"[0.5892857142857143,0.6077861565676137]",127,50,adam,0.15,0.052755163982752
