,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
bHWzz,0.010576018147925149,30.0,0.12383389543861859,adam,relu,4.961508950775062e-05,196.0,178.0,0.7,0.15,200.0,0.6026512234619347,0.08737054524250024,-1,-1
AByiO,0.002411956664132972,5.0,0.13618192036581722,SGD,tanh,7.773365702794217e-05,137.0,99.0,0.7,0.15,200.0,0.5440409323499225,0.04633529266372546,-1,-1
NQ18c,0.03539629998836449,100.0,0.06111571714941421,SGD,elu,8.631686285636024e-06,109.0,162.0,0.7,0.15,200.0,0.5868750558646049,0.031349458785788875,-1,-1
A8TCj,0.2521740309295338,70.0,0.09882684954837617,SGD,tanh,5.2725910632665324e-05,61.0,105.0,0.7,0.15,200.0,0.5691634335674537,0.010004298848707875,-1,-1
xfyUt,3.5801246260780714e-05,50.0,0.04922531554655493,SGD,elu,6.267373656610199e-05,45.0,96.0,0.7,0.15,200.0,0.47783437185692756,0.03586040490529524,-1,-1
RvJHr,0.0009074400343767075,30.0,0.08986535748487957,adam,tanh,1.9366251201874803e-05,168.0,131.0,0.7,0.15,200.0,0.5477124508578867,0.03969423462753685,-1,-1
zFarW,0.0012814748756676676,100.0,0.10703363734416815,SGD,relu,4.621264501747562e-05,102.0,150.0,0.7,0.15,200.0,0.4911596075770916,0.018057539030003386,-1,-1
Ehpnb,2.81834379505061e-06,50.0,0.08357139199229442,SGD,tanh,4.230941748296586e-05,54.0,73.0,0.7,0.15,200.0,0.4867684578536563,0.05105104820416736,-1,-1
ol3hb,0.00020739563982826885,10.0,0.10386838088777396,SGD,elu,4.945342099197072e-06,39.0,59.0,0.7,0.15,200.0,0.48759029930618797,0.03552777022441365,-1,-1
Iencn,0.024695590549453292,30.0,0.13275200084084146,SGD,tanh,6.741757782418198e-05,157.0,112.0,0.7,0.15,200.0,0.5526686849566687,0.05794557729399088,-1,-1
wuBkm,0.36845346620526426,5.0,0.06821797589611002,SGD,elu,3.813123404325769e-05,185.0,31.0,0.7,0.15,200.0,0.534927751058017,0.06565848684405377,-1,-1
UcrBo,0.06557828965598661,100.0,0.042217952585535276,adam,tanh,5.597991286023154e-05,79.0,83.0,0.7,0.15,200.0,0.5231935324046882,0.05875573131530847,-1,-1
zMrmW,0.14052940215826168,50.0,0.116654799367015,SGD,relu,3.400523993399217e-05,123.0,141.0,0.7,0.15,200.0,0.5200767442793979,0.06956626782381113,-1,-1
HpNLc,0.04139094360510197,70.0,0.11196526706289264,SGD,tanh,8.568639681929747e-05,70.0,119.0,0.7,0.15,200.0,0.5613065672796642,0.027086432669031817,-1,-1
kOpUW,0.09237078930820738,30.0,0.14093688826827167,SGD,elu,7.081321405212409e-05,87.0,50.0,0.7,0.15,200.0,0.5522028622417267,0.04102143254583338,-1,-1
aTI0m,0.0038130373273766154,100.0,0.005830608932175754,SGD,tanh,4.395601553080681e-05,179.0,68.0,0.7,0.15,200.0,0.5124964447521542,0.02412367239726239,-1,-1
XPInD,0.005863454303206606,50.0,0.12832624763885442,adam,elu,5.9391988780238684e-05,113.0,89.0,0.7,0.15,200.0,0.5808137920069689,0.10892242485027948,-1,-1
POOKC,0.4903738647035652,10.0,0.12159429127418812,SGD,tanh,2.8660977537572763e-05,10.0,183.0,0.7,0.15,200.0,0.5223201925226024,0.12917676590578675,-1,-1
fMlot,0.013613961299124806,30.0,0.09323541102754691,SGD,tanh,4.796550460212077e-05,32.0,128.0,0.7,0.15,200.0,0.586828619145907,0.07806050217673606,-1,-1
ArIVx,0.22511107804541833,5.0,0.033262609264601575,SGD,relu,6.324533990187986e-05,19.0,171.0,0.7,0.15,200.0,0.65514526113744,0.07316658557447676,-1,-1
PCGZ4,0.22687504586141052,5.0,0.017511366237673746,SGD,relu,2.058919571466197e-05,117.0,168.0,0.7,0.15,200.0,0.574184880554464,0.08547302495942323,-1,-1
R6oxd,0.0006201364954668986,5.0,0.025762536983740744,adam,relu,9.290110668766556e-05,147.0,189.0,0.7,0.15,200.0,0.5783523447566925,0.06052204830011743,-1,-1
MyzkH,0.3227847782100557,5.0,0.05593097460992842,SGD,relu,7.444301692682769e-05,22.0,180.0,0.7,0.15,200.0,0.5781990241250055,0.06250615750997823,-1,-1
J4VXM,0.1899674422350322,5.0,0.04548780188911064,SGD,relu,3.598338564245019e-05,132.0,173.0,0.7,0.15,200.0,0.5623280865553857,0.04560683765449583,-1,-1
v403d,0.027981103151873698,5.0,0.08016549245283146,SGD,relu,8.883795738180246e-05,171.0,186.0,0.7,0.15,200.0,0.5842372891772522,0.06100397678133113,-1,-1
QVXQ0,0.12049625896246072,5.0,0.031095596520249298,SGD,relu,8.296439559541412e-05,92.0,197.0,0.7,0.15,200.0,0.57268898842138,0.05605056039678765,-1,-1
fvXpm,0.05177969014746468,5.0,0.010879478733102889,adam,relu,6.324275999006925e-05,189.0,20.0,0.7,0.15,200.0,0.5332074238407641,0.02667881282080322,-1,-1
YNdQL,0.007911967256882611,5.0,0.03859495217459107,SGD,relu,1.724274761576998e-05,27.0,46.0,0.7,0.15,200.0,0.624185578362581,0.03566196179022579,-1,-1
HwYvY,0.020548983127527357,100.0,0.02207483186618079,SGD,relu,7.740406221685591e-05,58.0,160.0,0.7,0.15,200.0,0.525275153116042,0.062052058814656724,-1,-1
sJJLn,0.26853470276684144,5.0,0.06505895767201458,SGD,relu,1.329446993573216e-05,64.0,155.0,0.7,0.15,200.0,0.6101709725804304,0.03481681368821131,-1,-1
GRMWX,0.4535767540676475,70.0,0.06157851764937912,SGD,relu,2.3861737490581744e-05,73.0,62.0,0.7,0.15,200.0,0.5649108887815831,0.06622287508161703,-1,-1
qm4CI,0.15254497639000902,30.0,0.07367625488934973,adam,relu,5.382377245745092e-05,140.0,77.0,0.7,0.15,200.0,0.5087643760128373,0.014242902151196538,-1,-1
cUl1T,0.0002040009067260596,100.0,0.11060336194410739,SGD,tanh,1.0432895216521218e-05,98.0,116.0,0.7,0.15,200.0,0.484225438465583,0.02299633237780758,-1,-1
DNvoV,0.07524112115680759,5.0,0.051073869317787256,SGD,relu,3.0966312955643186e-05,103.0,147.0,0.7,0.15,200.0,0.6570783250812056,0.06085305546367998,-1,-1
cInqL,7.925386522620633e-06,5.0,0.029049816443706238,SGD,relu,2.580090691404899e-05,85.0,146.0,0.7,0.15,200.0,0.4852412310889534,0.04936249067650503,-1,-1
jWRSk,0.07239560867680919,5.0,0.05167313164745686,SGD,relu,3.0635904678642825e-05,104.0,164.0,0.7,0.15,200.0,0.5993506012471912,0.03219918535906455,-1,-1
pvr0G,0.0004330794918694478,5.0,0.032316902587201476,SGD,relu,1.574534041764067e-06,118.0,193.0,0.7,0.15,200.0,0.4919228785204181,0.01926270271508095,-1,-1
eTFcx,0.034738466475744204,5.0,0.05827634897200176,adam,relu,3.345310280032633e-05,78.0,170.0,0.7,0.15,200.0,0.5072723282420821,0.029137518671522325,-1,-1
xelqB,0.0014285457244489082,5.0,0.03896410635189144,SGD,relu,2.2063879312238984e-05,128.0,153.0,0.7,0.15,200.0,0.5350046942955926,0.06358382981068704,-1,-1
LhyZk,0.4797032400144477,5.0,0.04401401043990025,SGD,relu,5.205076498671765e-06,47.0,148.0,0.7,0.15,200.0,0.5417705058507334,0.12017456539381435,-1,-1
Nyytu,0.010145105399943677,5.0,0.05158561813468511,SGD,relu,3.9398779370810244e-05,125.0,136.0,0.7,0.15,200.0,0.5846120849763986,0.03232987881291882,-1,-1
c9KQc,0.01765272016120888,5.0,0.03466481738474299,SGD,relu,4.17850620479397e-05,51.0,124.0,0.7,0.15,200.0,0.5563382215938171,0.041383500907644095,-1,-1
