,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
SseUm,0.0005241377785917037,5.0,0.0425476597222219,SGD,elu,0.0013724041613037419,152.0,128.0,0.7,0.15,200.0,16.0,0.628945741422258,0.1309604995874072,0.6746411483253588,0.12596450436783693
Ea70M,0.15648202796689592,100.0,0.0424644740399359,adam,relu,0.002252846698325195,74.0,55.0,0.7,0.15,200.0,38.0,0.5799685516469638,0.17521225108248323,0.5,0.0
UBnt7,0.0019442849369165824,100.0,0.3670053322461935,adam,elu,0.057087485255293995,84.0,169.0,0.7,0.15,200.0,23.0,0.833680967345256,0.07675522978439352,0.8421052631578947,0.13361957324740983
V0GLl,0.4862111068394595,30.0,0.16345181628860583,adam,relu,0.08945005597710604,83.0,11.0,0.7,0.15,200.0,33.0,0.5417917782411685,0.044086689763190884,0.5,0.0
wbYiu,0.010824775407653206,50.0,0.10543037830097042,SGD,elu,0.0009170931060183186,136.0,106.0,0.7,0.15,200.0,33.0,0.7130101942764795,0.11362464134866412,0.8167464114832536,0.11170526843359141
Vvlm0,1.669781990591093e-05,100.0,0.13245555763616107,SGD,elu,0.08966272856027735,23.0,177.0,0.7,0.15,200.0,28.0,0.3548022778732404,0.13396575499934824,0.4956937799043062,0.129477295172069
YPbgP,0.03011627665696826,50.0,0.1965954946176837,SGD,relu,0.041172941367414076,177.0,35.0,0.7,0.15,200.0,60.0,0.5847155040831592,0.13011282829741036,0.6200956937799043,0.1619523577964484
lv9wa,0.00870065270404137,30.0,0.05648882404705505,adam,relu,0.08979299050780179,104.0,58.0,0.7,0.15,200.0,22.0,0.5689015343564648,0.12613786898422802,0.5,0.0
Cn4JF,0.000119673239732252,70.0,0.3332566413064438,adam,relu,0.009252675537969102,70.0,65.0,0.7,0.15,200.0,11.0,0.5509448546313978,0.07825572014069652,0.5457735247208931,0.11876795804437884
qN7BJ,4.086249457422091e-06,100.0,0.3727860959707898,adam,elu,0.04390194698349126,155.0,61.0,0.7,0.15,200.0,18.0,0.4681661171310534,0.08410114204639518,0.4663476874003189,0.11609092529426064
ELTlh,0.001659324916327485,50.0,0.20117500197147198,SGD,tanh,0.05089944528734709,127.0,87.0,0.7,0.15,200.0,53.0,0.5124628456746503,0.08602368274427984,0.5370015948963318,0.13763511795640562
NIjbz,0.010972875179128344,100.0,0.3042716309155132,adam,tanh,0.0432849223180151,170.0,198.0,0.7,0.15,200.0,16.0,0.8258857677354279,0.14575843079790043,0.7894736842105263,0.15138582577738524
LelYq,0.013848671373092342,70.0,0.28298389138091207,adam,relu,0.06748585921960079,195.0,171.0,0.7,0.15,200.0,10.0,0.7273195371234777,0.14954906832529197,0.6477671451355662,0.20948070836398605
C19nQ,2.6174664686662695e-05,5.0,0.10591991836403128,adam,elu,0.01121510406493178,137.0,30.0,0.7,0.15,200.0,59.0,0.7426357481891548,0.13580614033339938,0.8607655502392344,0.10330213841944105
voiMN,0.0004603587401433783,5.0,0.3973734964544771,SGD,tanh,0.022698727130124975,192.0,152.0,0.7,0.15,200.0,37.0,0.5897935278968546,0.1040332377692513,0.6518341307814992,0.14032377946326755
LHQgh,0.07567016035858586,30.0,0.3189893244378339,SGD,tanh,0.03941706385874473,58.0,67.0,0.7,0.15,200.0,14.0,0.8366674221019311,0.08479228264216597,0.8748006379585327,0.0434459245728302
l4X4k,2.688191899591469e-05,100.0,0.1387676438329478,adam,elu,0.021838849746717282,81.0,80.0,0.7,0.15,200.0,28.0,0.5927000131686444,0.1340486813939181,0.6663476874003189,0.1212054056731143
