layer_2,train_frac,epochs,trialJobId,reward,layer_1,test_frac,intermediate,optimizer,batch_size,activation,learning_rate,dropout,regularization,preweight
119,0.7,200,DPJCC,0.5857474371866913,166,0.15,"[0.554983606557377,0.5857474371866913]",SGD,10,elu,0.0011239841612805672,0.1976975467425495,0.05505363119562109,54
139,0.7,200,MdYr8,0.5045668884418542,81,0.15,"[0.5011803278688524,0.5045668884418542]",SGD,30,relu,0.17010195412549495,0.30195109908166007,0.02571660434002379,68
175,0.7,200,agzVY,0.5500270700676582,20,0.15,"[0.5178360655737705,0.5500270700676582]",adam,70,elu,0.00908398783080359,0.03390225523005119,0.05162175463684066,32
104,0.7,200,SwBGg,0.6039455199451959,44,0.15,"[0.5633770491803277,0.6039455199451959]",SGD,10,elu,0.0027397732366765725,0.23076331663323615,0.01952566200143658,60
60,0.7,200,yo147,0.5752910000275726,33,0.15,"[0.5663606557377049,0.5752910000275726]",SGD,100,relu,0.004799567125132671,0.3231979312749689,0.0206411650805254,58
98,0.7,200,kVFVG,0.5311806254974798,48,0.15,"[0.5317704918032786,0.5311806254974798]",SGD,50,elu,0.0007268722227790572,0.2582810524154816,0.010870034527149209,44
104,0.7,200,MfOWL,0.5665831447967511,21,0.15,"[0.5216065573770493,0.5665831447967511]",SGD,10,elu,0.0002490919644653874,0.2305833490186523,0.035767073508856606,60
85,0.7,200,VRNcz,0.554025301917925,10,0.15,"[0.5,0.554025301917925]",adam,10,relu,0.0029581840712551077,0.24327133387076916,0.007282649804448307,28
104,0.7,200,kQlEh,0.5332546455697834,71,0.15,"[0.5262295081967213,0.5332546455697834]",SGD,70,elu,0.00040874064254259063,0.1473471260731548,0.06212476531638795,37
70,0.7,200,tHpqp,0.5387972227378961,58,0.15,"[0.5343934426229507,0.5387972227378961]",SGD,30,tanh,0.0011681022187860525,0.24715931333042843,0.01720848698585525,56
78,0.7,200,jd1J7,0.6138867747241348,44,0.15,"[0.5506557377049179,0.6138867747241348]",SGD,10,tanh,0.0023059430077652086,0.30298194501755016,0.003561920779351496,49
49,0.7,200,nhMf1,0.5121475091842251,42,0.15,"[0.5229180327868852,0.5121475091842251]",SGD,100,elu,0.0008573092507342295,0.38506950775287263,0.0014120711890642785,41
63,0.7,200,WaArG,0.5558377751124457,27,0.15,"[0.5162622950819673,0.5558377751124457]",adam,10,tanh,0.0005695177497908958,0.3673109924822848,0.0036838384634923435,50
114,0.7,200,YFRWX,0.6048720827067048,61,0.15,"[0.5489180327868851,0.6048720827067048]",SGD,10,elu,0.0014039943281556738,0.2774873529608453,0.013717411857550033,49
184,0.7,200,IO7qR,0.4788739130351313,63,0.15,"[0.48786885245901634,0.4788739130351313]",SGD,50,relu,3.0631203580321666e-05,0.28156019272686716,0.01406354586418705,43
42,0.7,200,gdW3V,0.6065715797918355,52,0.15,"[0.5695737704918032,0.6065715797918355]",SGD,10,tanh,0.004379382440507896,0.3365261706749406,0.0024817161437937912,34
26,0.7,200,hDbu3,0.5689432456964116,53,0.15,"[0.527672131147541,0.5689432456964116]",SGD,30,tanh,0.0017349057134769317,0.3952862512121067,0.003344542606161082,33
39,0.7,200,JOmSo,0.5219390670573976,29,0.15,"[0.4964426229508197,0.5219390670573976]",SGD,70,tanh,0.006130991474977781,0.30138240643137104,0.0002537307648501491,21
31,0.7,200,iosew,0.5587639141994546,68,0.15,"[0.5027868852459016,0.5587639141994546]",adam,10,tanh,0.004262127538358085,0.34576800985375283,0.011313569555438956,35
12,0.7,200,AeccB,0.49930959549352616,48,0.15,"[0.495672131147541,0.49930959549352616]",SGD,10,tanh,7.708927746107151e-05,0.3224355332584513,0.007019574056308101,39
43,0.7,200,kywQw,0.5811073060770516,77,0.15,"[0.5279999999999999,0.5811073060770516]",SGD,100,tanh,0.027406452173215495,0.3513117035278466,0.022915827573630476,26
16,0.7,200,G5O5k,0.5212533355966542,14,0.15,"[0.48996721311475416,0.5212533355966542]",SGD,10,tanh,0.0004527226956423427,0.3359933942428364,0.007449882051391003,37
